rank,GEOID,state,UOI_score,n_ok,n_nodes,link_node_ratio,connected_node_ratio,intersection_density,median_block_length_ft,walking_circuity,pedshed_reach,lnr_ok,cnr_ok,inter_density_ok,block_ok,circuity_ok
40,55079009100,55,0.9887,5,554,1.778,0.9795,2672.9777,34.5833,1.2129,0.0231,True,True,True,True,True
41,36047057100,36,0.9886,4,169,1.7456,0.9809,2267.9534,27.208,1.1813,0.0177,True,True,True,True,False
42,36047052700,36,0.9884,5,308,1.7078,0.9435,3639.5766,30.3871,1.2121,0.0217,True,True,True,True,True
43,55079009700,55,0.9884,5,561,1.779,0.9793,3018.2418,32.4475,1.2412,0.0228,True,True,True,True,True
44,36005038900,36,0.9884,5,242,1.7438,0.96,3284.1435,30.9875,1.2379,0.0228,True,True,True,True,True
45,55079008000,55,0.9882,5,317,1.776,0.9833,2335.5842,30.2067,1.2265,0.0219,True,True,True,True,True
46,36061012000,36,0.988,5,221,1.7919,0.9808,3053.6487,36.4665,1.2262,0.0224,True,True,True,True,True
47,36047055300,36,0.9879,5,210,1.7571,0.9646,3165.576,25.1804,1.2037,0.0148,True,True,True,True,True
48,36061004700,36,0.9879,5,266,1.7105,0.944,3695.0622,30.3412,1.2251,0.0225,True,True,True,True,True
49,36047022000,36,0.9879,4,199,1.8241,0.9894,2479.6184,31.8307,1.1501,0.0162,True,True,True,True,False
50,72127003800,72,0.9877,5,544,1.6305,0.9494,6238.594,21.9357,1.2136,0.0214,True,True,True,True,True
51,36047117400,36,0.9877,4,214,1.7336,0.96,2336.1837,29.4915,1.1539,0.0185,True,True,True,True,False
52,53033007700,53,0.9877,5,1467,1.6599,0.9507,3306.247,28.3333,1.2201,0.0249,True,True,True,True,True
53,11001002301,11,0.9875,4,594,1.7357,0.9773,3557.6847,41.4928,1.1956,0.0246,True,True,True,True,False
54,36081028100,36,0.9875,4,199,1.7136,0.978,2642.8299,29.101,1.193,0.0166,True,True,True,True,False
55,27123035000,27,0.9875,5,768,1.7318,0.9907,2568.012,32.1719,1.2246,0.021,True,True,True,True,True
56,36061004300,36,0.9875,5,227,1.7401,0.9581,3575.0544,28.645,1.2117,0.0157,True,True,True,True,True
57,55079008600,55,0.9875,5,312,1.7853,0.9899,2520.8783,29.8097,1.2304,0.0181,True,True,True,True,True
58,36081015300,36,0.9875,4,146,1.7397,0.9489,2768.2416,29.5965,1.1677,0.0171,True,True,True,True,False
59,36081059100,36,0.9874,5,200,1.775,0.9788,2371.3145,24.3504,1.2416,0.0198,True,True,True,True,True
60,36047112800,36,0.9874,5,183,1.7486,0.9825,2362.2939,28.54,1.2227,0.0186,True,True,True,True,True
61,36081092500,36,0.9873,5,352,1.7472,0.9573,2603.0448,23.6385,1.2404,0.0209,True,True,True,True,True
62,36081020600,36,0.9873,4,203,1.7192,0.9837,3154.399,33.6516,1.1895,0.0166,True,True,True,True,False
63,36061014200,36,0.9873,5,211,1.8009,0.9899,2836.2023,37.0784,1.2247,0.0215,True,True,True,True,True
64,33011000800,33,0.9871,5,818,1.7249,0.9514,3623.5258,25.3675,1.2578,0.024,True,True,True,True,True
65,36047119600,36,0.9871,5,352,1.7898,0.9705,2780.5713,29.0551,1.2474,0.0193,True,True,True,True,True
66,36047053700,36,0.987,4,201,1.6965,0.9663,2660.3005,32.7756,1.1956,0.0207,True,True,True,True,False
67,36081049202,36,0.987,5,169,1.7574,0.9872,2086.2856,26.5699,1.2058,0.0178,True,True,True,True,True
68,36005038500,36,0.9869,4,283,1.7102,0.9464,3385.7666,33.4695,1.168,0.0187,True,True,True,True,False
69,26145001600,26,0.9869,5,1174,1.8765,0.987,1967.6875,28.5892,1.2218,0.0215,True,True,True,True,True
70,36081003600,36,0.9869,4,325,1.6862,0.9739,4287.7263,22.8264,1.1366,0.0134,True,True,True,True,False
71,42101010900,42,0.9869,5,379,1.7018,0.9592,3194.0309,31.2008,1.2361,0.0226,True,True,True,True,True
72,36061025700,36,0.9868,5,215,1.7395,0.9695,3433.853,38.043,1.2001,0.019,True,True,True,True,True
73,36081002200,36,0.9868,5,171,1.7018,0.9625,2704.3065,27.5558,1.2179,0.0179,True,True,True,True,True
74,36061026300,36,0.9868,4,236,1.7881,0.9821,3624.4808,35.3609,1.1985,0.0155,True,True,True,True,False
75,36047057400,36,0.9868,4,187,1.7112,0.9595,2700.5479,31.8176,1.1992,0.0192,True,True,True,True,False
76,25025060800,25,0.9868,5,518,1.6834,0.9607,3503.5246,29.457,1.2406,0.0211,True,True,True,True,True
77,36047051900,36,0.9868,5,366,1.7213,0.9534,3080.4594,30.5643,1.2124,0.0177,True,True,True,True,True
78,36061004900,36,0.9868,5,260,1.7654,0.9669,2923.3217,28.3301,1.2469,0.0184,True,True,True,True,True
79,36047011200,36,0.9866,4,195,1.7641,0.9617,2660.8483,33.5499,1.1965,0.0183,True,True,True,True,False
80,36081118500,36,0.9866,4,229,1.7205,0.9718,3457.0807,26.314,1.1518,0.0132,True,True,True,True,False
81,36081058900,36,0.9866,5,220,1.7227,0.9608,3071.5286,24.731,1.2043,0.0149,True,True,True,True,True
82,27053002200,27,0.9865,5,629,1.6693,0.9833,3366.1327,26.4321,1.2521,0.0205,True,True,True,True,True
83,36061005502,36,0.9865,5,205,1.7317,0.959,4193.8224,32.3819,1.227,0.0174,True,True,True,True,True
84,36081024300,36,0.9864,5,544,1.7794,0.9732,2440.7251,29.5604,1.2374,0.0193,True,True,True,True,True
85,36047119400,36,0.9864,5,200,1.82,0.9894,2648.9014,26.6503,1.2353,0.0157,True,True,True,True,True
86,36081026901,36,0.9864,4,152,1.6447,0.9701,2947.9871,25.7169,1.1743,0.0164,True,True,True,True,False
87,36081036700,36,0.9863,4,206,1.7476,0.9786,2423.4457,32.2277,1.173,0.0166,True,True,True,True,False
88,11001006700,11,0.9863,4,572,1.7098,0.9545,3174.3162,37.5328,1.1962,0.0234,True,True,True,True,False
89,36081058300,36,0.9863,4,179,1.7318,0.9586,2931.7957,26.9423,1.1989,0.015,True,True,True,True,False
90,55079008800,55,0.9862,5,651,1.7573,0.9697,3211.3598,38.1841,1.2333,0.0254,True,True,True,True,True
91,36081145102,36,0.9862,4,344,1.7529,0.9631,2358.8577,31.8668,1.1934,0.0185,True,True,True,True,False
92,55079016900,55,0.9861,5,554,1.7365,0.9678,2771.0209,37.5131,1.2092,0.0222,True,True,True,True,True
93,36047055500,36,0.9861,5,332,1.747,0.9684,3028.7744,28.7287,1.2592,0.0208,True,True,True,True,True
94,36081015000,36,0.986,4,191,1.7696,1.0,3221.7067,26.2533,1.1511,0.0122,True,True,True,True,False
95,36047041800,36,0.986,4,169,1.7396,0.9533,2253.9865,31.9472,1.1883,0.0216,True,True,True,True,False
96,36047082600,36,0.9859,5,248,1.746,0.9746,2992.0854,30.0295,1.2374,0.0168,True,True,True,True,True
97,36047074600,36,0.9859,4,290,1.7,0.9515,3268.8921,36.834,1.195,0.0218,True,True,True,True,False
98,55079005000,55,0.9859,4,1057,1.7909,0.9784,2263.666,37.6509,1.1851,0.0218,True,True,True,True,False
99,36061003001,36,0.9858,5,175,1.7657,0.9583,3358.7441,31.0991,1.2475,0.0188,True,True,True,True,True
100,55079003800,55,0.9858,4,776,1.7771,0.9757,2804.7454,41.8537,1.1949,0.0223,True,True,True,True,False
101,36081048000,36,0.9858,5,258,1.7752,0.9831,2609.6051,26.5961,1.2401,0.0162,True,True,True,True,True
102,36047001502,36,0.9858,5,230,1.6609,0.9479,3644.1238,30.7989,1.2151,0.0202,True,True,True,True,True
103,27053109700,27,0.9858,5,557,1.6607,0.9787,2505.0304,26.5584,1.2303,0.0207,True,True,True,True,True
104,55079006500,55,0.9857,4,418,1.7871,0.9847,1997.1694,34.8917,1.1892,0.0234,True,True,True,True,False
105,55079008700,55,0.9856,5,352,1.7812,0.9733,2581.4175,29.1191,1.2399,0.0174,True,True,True,True,True
106,36061010000,36,0.9856,5,228,1.7807,0.9721,3130.8635,38.3448,1.2368,0.0226,True,True,True,True,True
107,36047045300,36,0.9856,4,357,1.7199,0.9614,2626.2284,32.0719,1.1958,0.0174,True,True,True,True,False
108,36061016001,36,0.9856,5,151,1.7682,0.9786,2824.7293,34.0026,1.2283,0.0177,True,True,True,True,True
109,36081115700,36,0.9856,5,343,1.7551,0.9628,2560.1716,31.3205,1.2279,0.0187,True,True,True,True,True
110,36081035300,36,0.9855,5,204,1.7108,0.9462,2938.7283,32.7822,1.2007,0.0192,True,True,True,True,True
111,36061001800,36,0.9855,5,410,1.7634,0.9612,4321.2159,36.2861,1.2472,0.0214,True,True,True,True,True
112,36061029300,36,0.9855,5,186,1.7527,1.0,2869.0438,40.497,1.2002,0.019,True,True,True,True,True
113,36081054900,36,0.9855,4,201,1.7313,0.9615,2758.9963,28.1972,1.1886,0.0146,True,True,True,True,False
114,36047087200,36,0.9855,5,145,1.7655,0.9778,2322.4806,31.606,1.2127,0.0175,True,True,True,True,True
115,36047115000,36,0.9854,5,192,1.8021,0.9778,2880.4923,26.4206,1.2348,0.0147,True,True,True,True,True
116,27053108900,27,0.9853,5,790,1.6658,0.9759,2371.1338,24.2257,1.2139,0.0181,True,True,True,True,True
117,36061006500,36,0.9853,5,321,1.704,0.9437,3670.0523,30.082,1.2359,0.0192,True,True,True,True,True
118,36081005400,36,0.9853,5,413,1.7772,0.9773,2408.8454,30.9465,1.2042,0.0158,True,True,True,True,True
119,36047119800,36,0.9853,5,491,1.7149,0.9558,3596.9526,30.3314,1.2549,0.0214,True,True,True,True,True
120,36081125700,36,0.9853,5,370,1.7541,0.9623,2590.7997,30.8038,1.219,0.017,True,True,True,True,True
121,36047116800,36,0.9852,5,180,1.6722,0.9632,2824.6696,28.4121,1.2392,0.0206,True,True,True,True,True
122,36081011100,36,0.9852,5,174,1.7184,0.9817,2766.3287,30.1345,1.2106,0.0152,True,True,True,True,True
123,24510190300,24,0.9852,5,593,1.6965,0.9423,3955.48,28.9879,1.2538,0.0256,True,True,True,True,True
124,55079185800,55,0.9851,5,559,1.7639,0.9721,3084.1335,36.6109,1.2463,0.0226,True,True,True,True,True
125,55079017500,55,0.9851,5,558,1.7563,0.9736,2740.3355,39.9705,1.2205,0.0242,True,True,True,True,True
126,36061006800,36,0.9851,5,205,1.7902,0.9744,2820.9982,34.0781,1.2165,0.0162,True,True,True,True,True
127,36047026200,36,0.985,4,169,1.7456,0.9801,2428.2318,30.9219,1.1854,0.0152,True,True,True,True,False
128,36081003400,36,0.9849,4,364,1.6374,0.9398,3776.2868,27.1096,1.1724,0.0171,True,True,True,True,False
129,36061012200,36,0.9849,5,190,1.8263,1.0,2715.8002,33.5072,1.2177,0.0155,True,True,True,True,True
130,53033005000,53,0.9849,5,1541,1.6372,0.9439,4835.4105,29.726,1.2354,0.0296,True,True,True,True,True
131,26145001300,26,0.9849,5,1311,1.8085,0.9752,1866.549,30.3937,1.2168,0.022,True,True,True,True,True
132,41051005001,41,0.9848,5,454,1.7115,0.9619,3034.5056,27.9298,1.2082,0.0146,True,True,True,True,True
133,08031000401,08,0.9847,5,1227,1.7604,0.9704,3041.6259,33.2316,1.2612,0.0264,True,True,True,True,True
134,36081000600,36,0.9847,5,263,1.73,0.9631,2840.3498,33.1463,1.2072,0.0165,True,True,True,True,True
135,36081062700,36,0.9847,5,158,1.7342,0.9728,2354.4448,25.5692,1.2014,0.0148,True,True,True,True,True
136,27053009600,27,0.9847,5,781,1.6735,0.976,2267.5364,25.6463,1.2307,0.02,True,True,True,True,True
137,55079016400,55,0.9847,5,553,1.7758,0.9605,2857.2562,34.2126,1.2506,0.0247,True,True,True,True,True
138,33011001500,33,0.9846,5,487,1.7002,0.97,3053.5953,36.9406,1.216,0.0192,True,True,True,True,True
139,36047015100,36,0.9845,4,117,1.7692,0.9908,1873.3966,30.7907,1.1979,0.0185,True,True,True,True,False
140,36061025300,36,0.9845,5,187,1.7807,0.9881,2538.8442,37.1949,1.2098,0.0175,True,True,True,True,True
141,36061003400,36,0.9845,5,160,1.7438,0.986,2278.7668,33.878,1.2221,0.0196,True,True,True,True,True
142,36061015302,36,0.9844,4,166,1.741,0.9733,4330.8358,38.4154,1.1899,0.0151,True,True,True,True,False
143,36081058100,36,0.9844,5,185,1.6595,0.9467,2885.6601,29.4849,1.2,0.0182,True,True,True,True,True
144,36081038400,36,0.9843,5,314,1.7389,0.9561,2463.6043,33.148,1.2228,0.0205,True,True,True,True,True
145,36081124100,36,0.9843,5,451,1.7605,0.9858,2164.3311,27.4459,1.2363,0.0174,True,True,True,True,True
146,11001002400,11,0.9843,5,801,1.7054,0.9451,3365.4466,36.8865,1.2194,0.0231,True,True,True,True,True
147,36081015200,36,0.9843,5,203,1.6995,0.9724,2460.0659,29.2192,1.2343,0.0182,True,True,True,True,True
148,36081012800,36,0.9843,4,137,1.708,0.9836,1951.6394,24.4554,1.1973,0.0171,True,True,True,True,False
149,36081021200,36,0.9842,4,318,1.6698,0.9485,2981.3932,32.9134,1.1888,0.0186,True,True,True,True,False
150,55079016700,55,0.9842,5,668,1.765,0.983,3382.8199,39.8589,1.2507,0.0251,True,True,True,True,True
151,36061024500,36,0.9842,4,229,1.7686,0.9805,2454.7914,34.7244,1.182,0.0157,True,True,True,True,False
152,34017016500,34,0.9842,5,362,1.6271,0.9532,4124.0237,27.5427,1.2277,0.0184,True,True,True,True,True
153,36047116200,36,0.9842,5,164,1.7988,0.9804,2708.3049,23.6909,1.2172,0.0131,True,True,True,True,True
154,36047000900,36,0.9841,5,194,1.7113,0.9435,2645.933,31.3402,1.2159,0.0193,True,True,True,True,True
155,08031000503,08,0.9841,5,600,1.735,0.9567,2779.0274,31.2992,1.242,0.0189,True,True,True,True,True
156,55079003900,55,0.9841,5,587,1.8296,0.9893,2144.0619,37.0013,1.2107,0.0203,True,True,True,True,True
157,36047011400,36,0.984,5,173,1.7514,0.9576,2438.8417,31.5223,1.2271,0.0183,True,True,True,True,True
158,36047047700,36,0.984,5,331,1.7009,0.9414,3436.5746,31.6962,1.2038,0.0166,True,True,True,True,True
159,11001008802,11,0.984,5,670,1.7403,0.9706,3465.6398,38.2054,1.2516,0.0249,True,True,True,True,True
160,36047057600,36,0.9839,5,137,1.7445,0.976,1992.2357,29.498,1.2086,0.0175,True,True,True,True,True
161,36047086400,36,0.9839,5,235,1.6638,0.9488,3503.1631,34.8819,1.2107,0.0204,True,True,True,True,True
162,36081078800,36,0.9839,5,180,1.7389,0.9702,2192.6936,26.6864,1.2178,0.0161,True,True,True,True,True
163,36081025301,36,0.9839,5,181,1.7459,0.9701,3298.7513,33.7615,1.2324,0.016,True,True,True,True,True
164,53033002800,53,0.9839,5,1211,1.6647,0.9542,2895.856,28.686,1.2466,0.0225,True,True,True,True,True
165,36047096800,36,0.9839,5,178,1.7809,0.988,2850.3617,28.96,1.2521,0.0156,True,True,True,True,True
166,36047004300,36,0.9839,5,190,1.7474,0.9713,2646.6323,29.9295,1.249,0.0175,True,True,True,True,True
167,53033005100,53,0.9838,5,1157,1.6629,0.9456,3060.7607,25.8661,1.249,0.0227,True,True,True,True,True
168,55079004900,55,0.9838,5,878,1.82,0.9848,2204.6646,33.4974,1.243,0.0219,True,True,True,True,True
169,41051010602,41,0.9837,5,1409,1.7282,0.946,4184.6179,34.521,1.2538,0.0267,True,True,True,True,True
170,36047049900,36,0.9837,5,224,1.7054,0.9378,3582.5071,30.1148,1.2092,0.0159,True,True,True,True,True
171,36081115100,36,0.9837,5,239,1.7699,0.9783,2061.8225,30.105,1.2361,0.0193,True,True,True,True,True
172,36047115200,36,0.9836,5,191,1.7958,0.9719,2696.9949,27.4278,1.2277,0.0139,True,True,True,True,True
173,55079009000,55,0.9836,5,577,1.7747,0.9695,2785.3376,32.3442,1.2647,0.0226,True,True,True,True,True
174,27053003200,27,0.9836,5,556,1.6781,0.9649,2096.6889,29.3619,1.2139,0.0208,True,True,True,True,True
175,36047002000,36,0.9835,5,149,1.7315,0.9773,2167.5931,27.1129,1.2308,0.0169,True,True,True,True,True
176,36047026100,36,0.9834,5,159,1.7484,0.9932,1896.2378,29.1765,1.2292,0.019,True,True,True,True,True
177,36047119200,36,0.9834,5,219,1.7808,0.9852,2297.6776,28.5482,1.2279,0.015,True,True,True,True,True
178,36047076800,36,0.9833,5,325,1.7138,0.9536,2458.8576,30.3117,1.225,0.0179,True,True,True,True,True
179,26145001700,26,0.9833,5,1047,1.8223,0.965,2310.4556,30.0984,1.2564,0.0214,True,True,True,True,True
180,55079002500,55,0.9833,5,514,1.7549,0.9557,2216.6485,32.9774,1.2145,0.0194,True,True,True,True,True
181,08031000301,08,0.9832,5,1999,1.7409,0.9615,2484.0761,33.8369,1.242,0.0223,True,True,True,True,True
182,11001006802,11,0.9832,4,424,1.6698,0.9497,3495.1358,40.643,1.1803,0.0223,True,True,True,True,False
183,36047098600,36,0.9832,5,164,1.7378,0.9735,2441.0195,34.0715,1.2367,0.0196,True,True,True,True,True
184,36047072400,36,0.9832,4,297,1.6734,0.9675,3611.5802,36.8045,1.1932,0.0163,True,True,True,True,False
185,36061010200,36,0.9832,5,201,1.7662,0.9735,2756.4061,35.456,1.2134,0.0156,True,True,True,True,True
186,41051001203,41,0.9832,5,579,1.6857,0.9409,3618.2836,28.9649,1.2456,0.0187,True,True,True,True,True
187,36081003800,36,0.9832,4,225,1.7156,0.9674,3057.1778,30.7497,1.1725,0.0132,True,True,True,True,False
188,55079006100,55,0.9832,5,407,1.8256,0.9899,1945.6384,29.8458,1.2342,0.0182,True,True,True,True,True
189,16001000102,16,0.9832,5,4112,1.6902,0.9461,3810.7993,41.168,1.2103,0.0304,True,True,True,True,True
190,36005026400,36,0.9831,5,417,1.741,0.9571,2301.483,30.1936,1.2109,0.0164,True,True,True,True,True
191,36081037900,36,0.9831,5,194,1.768,0.9779,2326.254,23.6007,1.2357,0.015,True,True,True,True,True
192,36047020300,36,0.9831,4,162,1.7469,0.9864,2666.3373,35.9777,1.193,0.015,True,True,True,True,False
193,36061005900,36,0.983,5,185,1.7081,0.9704,3656.1915,26.4616,1.2576,0.0156,True,True,True,True,True
194,36081011600,36,0.983,5,150,1.7667,0.9928,2591.1608,25.3018,1.24,0.0141,True,True,True,True,True
195,36047010100,36,0.983,5,306,1.7353,0.9555,2295.9574,34.1634,1.2247,0.022,True,True,True,True,True
196,36047050300,36,0.9829,5,151,1.7351,0.9412,2645.6501,26.1581,1.2168,0.0155,True,True,True,True,True
197,36047008000,36,0.9829,4,119,1.8067,1.0,2047.9365,29.1667,1.1975,0.0145,True,True,True,True,False
198,36061008200,36,0.9829,5,206,1.7282,0.9635,2779.2635,31.4846,1.2333,0.0161,True,True,True,True,True
199,53033002900,53,0.9829,5,1218,1.6502,0.9466,2886.2005,27.3786,1.2456,0.0228,True,True,True,True,True
200,36047089400,36,0.9829,4,160,1.7812,0.9932,2195.7336,29.9869,1.172,0.0136,True,True,True,True,False
201,42003090300,42,0.9829,5,478,1.6674,0.943,4315.8606,32.769,1.2357,0.0199,True,True,True,True,True
202,36061007100,36,0.9829,5,285,1.6807,0.9653,3924.2958,36.6503,1.2096,0.0162,True,True,True,True,True
203,36047053500,36,0.9828,4,149,1.6846,0.9921,2503.287,30.3839,1.1651,0.0141,True,True,True,True,False
204,36047085400,36,0.9828,5,221,1.6606,0.975,3922.7004,30.0984,1.2213,0.0145,True,True,True,True,True
205,36047027400,36,0.9828,5,127,1.7795,1.0,1823.2207,30.2641,1.2168,0.0178,True,True,True,True,True
206,36047041300,36,0.9828,5,146,1.774,0.971,2140.1561,26.3681,1.2302,0.0157,True,True,True,True,True
207,11001004202,11,0.9827,5,433,1.6513,0.9511,4852.0336,35.5217,1.2367,0.0233,True,True,True,True,True
208,53033009802,53,0.9827,5,1115,1.6664,0.9559,2858.6724,30.0886,1.252,0.0237,True,True,True,True,True
209,36081073900,36,0.9827,5,309,1.7055,0.9324,3187.0666,33.0807,1.2286,0.021,True,True,True,True,True
210,36047013200,36,0.9827,4,170,1.6765,0.9811,2593.6791,35.3675,1.1532,0.016,True,True,True,True,False
211,08031001706,08,0.9827,5,755,1.7099,0.9399,3644.418,39.7884,1.2204,0.024,True,True,True,True,True
212,36047113400,36,0.9826,5,165,1.7758,0.9739,2515.3711,28.2218,1.2367,0.0146,True,True,True,True,True
213,53063004001,53,0.9825,5,788,1.7678,0.9563,2259.5418,34.1437,1.2327,0.0216,True,True,True,True,True
214,53021020201,53,0.9825,5,709,1.7828,0.9839,2656.836,37.0456,1.2538,0.0209,True,True,True,True,True
215,36047036700,36,0.9825,5,239,1.6527,0.9552,3015.1036,36.2123,1.2093,0.0206,True,True,True,True,True
216,36047051400,36,0.9825,4,155,1.7419,0.9856,1959.49,33.0397,1.1691,0.0167,True,True,True,True,False
217,55079016300,55,0.9825,5,620,1.721,0.9627,2612.0387,34.6785,1.2297,0.0182,True,True,True,True,True
218,36047057300,36,0.9825,5,199,1.7588,0.9836,2740.0516,25.5217,1.2321,0.0131,True,True,True,True,True
219,53033002600,53,0.9824,5,1411,1.6386,0.9403,2680.1929,29.4997,1.2179,0.0223,True,True,True,True,True
220,36061013000,36,0.9824,5,188,1.8191,0.9888,2572.1863,36.3369,1.2274,0.0161,True,True,True,True,True
221,42101010800,42,0.9824,5,594,1.7407,0.9596,2418.7231,26.6306,1.2667,0.0217,True,True,True,True,True
222,55079101500,55,0.9824,5,881,1.7764,0.9496,1995.4158,27.7625,1.2337,0.0196,True,True,True,True,True
223,11001009400,11,0.9824,4,1481,1.7205,0.96,2240.024,39.9984,1.1752,0.0231,True,True,True,True,False
224,08031002404,08,0.9824,5,651,1.6559,0.9423,3985.7978,37.4672,1.2198,0.0252,True,True,True,True,True
225,36081080301,36,0.9823,5,296,1.75,0.9527,2147.47,28.0118,1.2123,0.0161,True,True,True,True,True
226,53033011500,53,0.9823,5,1307,1.7116,0.9687,2033.7757,27.29,1.236,0.0187,True,True,True,True,True
227,36047049500,36,0.9823,5,158,1.7278,0.9329,2788.5359,29.3012,1.2079,0.0159,True,True,True,True,True
228,24510120201,24,0.9823,5,544,1.6287,0.9551,3639.1707,35.8054,1.2219,0.0231,True,True,True,True,True
229,36047042800,36,0.9822,4,175,1.7543,0.9938,2500.3225,34.9409,1.1573,0.0139,True,True,True,True,False
230,36047022200,36,0.9822,4,189,1.8095,0.9888,2601.9837,32.2638,1.1661,0.0127,True,True,True,True,False
231,36081005500,36,0.9822,4,145,1.7034,0.9545,1966.2855,29.5833,1.1964,0.0185,True,True,True,True,False
232,36081067700,36,0.9821,5,286,1.6608,0.9508,3495.9749,30.0164,1.233,0.0166,True,True,True,True,True
233,36047120801,36,0.9821,5,232,1.7328,0.9593,2715.6779,34.2552,1.2523,0.0216,True,True,True,True,True
234,36047090800,36,0.9821,5,301,1.7475,0.9571,2341.4533,30.8891,1.2427,0.0184,True,True,True,True,True
235,41051005102,41,0.982,5,623,1.6565,0.9428,4134.2596,28.6581,1.2535,0.0196,True,True,True,True,True
236,36061012800,36,0.982,5,193,1.8187,1.0,2650.9157,38.75,1.2257,0.0161,True,True,True,True,True
